location_id,period_of_time,sensor_description,sensor_name,latitude,longitude,total_pedestrian_count,hours_covered,days_covered,suburb,postcode
17,4. Night (6pm-12am),Collins Place (South),Col15_T,-37.81362543,144.97323591,458227,2184,364,Melbourne,3000
18,1. Late Night (12am-6am),Collins Place (North),Col12_T,-37.81344862,144.97305353,6300,1131,303,Melbourne,3000
18,2. Morning (6am-12pm),Collins Place (North),Col12_T,-37.81344862,144.97305353,789563,2133,364,Melbourne,3000
18,3. Afternoon (12pm-6pm),Collins Place (North),Col12_T,-37.81344862,144.97305353,829946,2178,363,Melbourne,3000
18,4. Night (6pm-12am),Collins Place (North),Col12_T,-37.81344862,144.97305353,118243,1789,347,Melbourne,3000
19,1. Late Night (12am-6am),Chinatown-Swanston St (North),LtB210_T,-37.81237202,144.96550671,189743,2091,349,Melbourne,3000
19,2. Morning (6am-12pm),Chinatown-Swanston St (North),LtB210_T,-37.81237202,144.96550671,428251,2092,349,Melbourne,3000
19,3. Afternoon (12pm-6pm),Chinatown-Swanston St (North),LtB210_T,-37.81237202,144.96550671,2079303,2093,350,Melbourne,3000
19,4. Night (6pm-12am),Chinatown-Swanston St (North),LtB210_T,-37.81237202,144.96550671,1889090,2094,349,Melbourne,3000
20,1. Late Night (12am-6am),Chinatown-Lt Bourke St (South),LtB170_T,-37.81172914,144.9682466,189901,2164,363,Melbourne,3000
20,2. Morning (6am-12pm),Chinatown-Lt Bourke St (South),LtB170_T,-37.81172914,144.9682466,307128,2173,363,Melbourne,3000
20,3. Afternoon (12pm-6pm),Chinatown-Lt Bourke St (South),LtB170_T,-37.81172914,144.9682466,1148333,2168,362,Melbourne,3000
20,4. Night (6pm-12am),Chinatown-Lt Bourke St (South),LtB170_T,-37.81172914,144.9682466,1327865,2172,362,Melbourne,3000
21,1. Late Night (12am-6am),155-161 Russell Street,Bourke155_T,-37.81267313,144.96788288,89018,960,260,Melbourne,3000
21,2. Morning (6am-12pm),155-161 Russell Street,Bourke155_T,-37.81267313,144.96788288,257039,1163,261,Melbourne,3000
21,3. Afternoon (12pm-6pm),155-161 Russell Street,Bourke155_T,-37.81267313,144.96788288,1179756,1566,261,Melbourne,3000
21,4. Night (6pm-12am),155-161 Russell Street,Bourke155_T,-37.81267313,144.96788288,962963,1557,261,Melbourne,3000
23,1. Late Night (12am-6am),Spencer St-Collins St (South),Col623_T,-37.81909256,144.95452748,64429,2181,365,Melbourne,3000
23,2. Morning (6am-12pm),Spencer St-Collins St (South),Col623_T,-37.81909256,144.95452748,996810,2187,365,Melbourne,3000
23,3. Afternoon (12pm-6pm),Spencer St-Collins St (South),Col623_T,-37.81909256,144.95452748,1383526,2186,365,Melbourne,3000
23,4. Night (6pm-12am),Spencer St-Collins St (South),Col623_T,-37.81909256,144.95452748,594038,2189,365,Melbourne,3000
24,1. Late Night (12am-6am),Spencer St-Collins St (North),Col620_T,-37.81887963,144.95449198,211318,2165,362,Melbourne,3000
