latitude,longitude,ext_id,emitted_lux_level,postcode,locality
-37.81910299993481,144.94717399954112,106037,18.28,3008,DOCKLANDS
-37.81910499968281,144.94717700002684,106029,12.512,3008,DOCKLANDS
-37.81910800031837,144.94717900034982,106028,12.414,3008,DOCKLANDS
-37.81911000004645,144.9471819997004,106027,12.317,3008,DOCKLANDS
-37.81911200038785,144.9471840004734,106026,12.414,3008,DOCKLANDS
-37.81911400011579,144.94718699982428,106025,12.708,3008,DOCKLANDS
-37.81911699985047,144.94718900017287,106024,13.196,3008,DOCKLANDS
-37.81911899957831,144.94719199952408,106023,13.392,3008,DOCKLANDS
-37.81912099991954,144.94719400029757,106022,14.076,3008,DOCKLANDS
-37.819122999647256,144.94719699964907,106021,14.565,3008,DOCKLANDS
-37.81912500029542,144.94720000011125,106020,14.956,3008,DOCKLANDS
-37.81912800002991,144.94720200046066,106019,15.934,3008,DOCKLANDS
-37.819129999757436,144.94720499981267,106018,17.595,3008,DOCKLANDS
-37.81913200007866,144.94720699945134,106017,19.159,3008,DOCKLANDS
-37.81913399982585,144.94720999993913,106016,21.896,3008,DOCKLANDS
-37.81913699956019,144.94721200028917,106015,24.242,3008,DOCKLANDS
-37.8191390001882,144.94721499961685,106014,28.25,3008,DOCKLANDS
-37.81914099962834,144.94721700041646,106013,30.499,3008,DOCKLANDS
-37.81914300025623,144.94721999974445,106012,31.769,3008,DOCKLANDS
-37.81914599999041,144.94722200009514,106011,33.138,3008,DOCKLANDS
-37.81914799973725,144.9472250005839,106010,37.439,3008,DOCKLANDS
-37.81915000005816,144.9472270002236,106009,42.326,3008,DOCKLANDS
-37.819151999785085,144.94722999957716,106008,43.988,3008,DOCKLANDS
-37.81915399953173,144.94723300006635,106007,49.853,3008,DOCKLANDS
-37.81915700016644,144.94723500039288,106006,56.109,3008,DOCKLANDS
-37.81915899958646,144.94723700005804,106005,62.952,3008,DOCKLANDS
-37.81916100023368,144.94724000052278,106004,72.336,3008,DOCKLANDS
-37.819162999653614,144.9472420001882,106003,78.886,3008,DOCKLANDS
-37.819164999974255,144.94724399982874,106002,84.946,3008,DOCKLANDS
-37.819166999720565,144.94724700031887,106001,86.608,3008,DOCKLANDS
-37.81916900004113,144.94724899995967,106000,90.714,3008,DOCKLANDS
-37.819170999787325,144.94725200045008,105999,91.593,3008,DOCKLANDS
-37.81917300010781,144.9472540000911,105998,89.638,3008,DOCKLANDS
-37.81917499952753,144.94725599975723,105997,75.66,3008,DOCKLANDS
-37.819177000174285,144.9472590002231,105996,83.48,3008,DOCKLANDS
-37.81917899959394,144.94726099988947,105995,95.797,3008,DOCKLANDS
-37.81918099991427,144.94726299953098,105994,93.842,3008,DOCKLANDS
-37.819182999660136,144.94726600002224,105993,91.007,3008,DOCKLANDS
-37.819185000306646,144.94726900048872,105992,86.217,3008,DOCKLANDS
-37.819186000044844,144.9472729999827,105991,82.307,3008,DOCKLANDS
-37.819186999802696,144.94727700061222,105990,78.201,3008,DOCKLANDS
-37.81918799954063,144.94728100010636,105989,76.931,3008,DOCKLANDS
-37.81918999959237,144.94728500028776,105988,73.509,3008,DOCKLANDS
-37.81919100023076,144.94728899975726,105987,71.163,3008,DOCKLANDS
-37.819191999662046,144.94729199956248,105986,70.088,3008,DOCKLANDS
-37.81919399971342,144.9472959997444,105985,65.396,3008,DOCKLANDS
-37.81919500037125,144.94730000034974,105984,63.05,3008,DOCKLANDS
-37.81919600010841,144.94730399984468,105983,61.779,3008,DOCKLANDS
-37.81919699986525,144.9473080004752,105982,56.891,3008,DOCKLANDS
-37.81919899959021,144.94731099983292,105981,53.275,3008,DOCKLANDS
-37.81920099992954,144.94731300061179,105980,50.147,3008,DOCKLANDS
-37.819201999629044,144.94731399987828,105979,46.628,3008,DOCKLANDS
-37.81920399964248,144.94731499983232,105978,44.184,3008,DOCKLANDS
-37.8192059996559,144.94731599978638,105977,43.5,3008,DOCKLANDS
-37.819207999995164,144.9473180005656,105976,41.544,3008,DOCKLANDS
-37.81921000000857,144.9473190005198,105975,40.078,3008,DOCKLANDS
-37.81921200002197,144.94732000047404,105974,39.687,3008,DOCKLANDS
-37.819214000341375,144.94732200011802,105973,38.514,3008,DOCKLANDS
-37.81921600035474,144.9473230000724,105972,37.732,3008,DOCKLANDS
-37.81921800036812,144.94732400002687,105971,37.341,3008,DOCKLANDS
-37.81922000038148,144.94732499998136,105970,36.07,3008,DOCKLANDS
-37.81922099950591,144.94732700009845,105969,34.604,3008,DOCKLANDS
-37.81922400013916,144.94732900043053,105968,34.115,3008,DOCKLANDS
-37.81922599986361,144.94733199978992,105967,32.454,3008,DOCKLANDS
-37.81922800020263,144.94733400057007,105966,30.596,3008,DOCKLANDS
-37.81922999992698,144.9473369999297,105965,29.423,3008,DOCKLANDS
-37.819232999659334,144.9473390002874,105964,28.641,3008,DOCKLANDS
-37.819235000284294,144.94734199962244,105963,28.348,3008,DOCKLANDS
-37.81923699972241,144.94734400042805,105962,28.348,3008,DOCKLANDS
-37.81923900034725,144.94734699976337,105961,28.446,3008,DOCKLANDS
