location_id,sensing_datetime,sensing_date,sensing_time,direction_1,direction_2,total_of_directions
49,2025-04-14T14:08:00+00:00,2025-04-15,00:08,2,1,3
51,2025-04-14T13:58:00+00:00,2025-04-14,23:58,0,1,1
51,2025-04-14T14:02:00+00:00,2025-04-15,00:02,0,2,2
51,2025-04-14T14:04:00+00:00,2025-04-15,00:04,1,0,1
51,2025-04-14T14:06:00+00:00,2025-04-15,00:06,1,1,2
51,2025-04-14T14:07:00+00:00,2025-04-15,00:07,1,0,1
51,2025-04-14T14:09:00+00:00,2025-04-15,00:09,1,6,7
52,2025-04-14T13:57:00+00:00,2025-04-14,23:57,1,0,1
52,2025-04-14T14:01:00+00:00,2025-04-15,00:01,0,2,2
53,2025-04-14T14:04:00+00:00,2025-04-15,00:04,1,0,1
56,2025-04-14T13:56:00+00:00,2025-04-14,23:56,1,0,1
56,2025-04-14T14:06:00+00:00,2025-04-15,00:06,0,1,1
56,2025-04-14T14:08:00+00:00,2025-04-15,00:08,0,3,3
58,2025-04-14T13:56:00+00:00,2025-04-14,23:56,1,0,1
58,2025-04-14T14:04:00+00:00,2025-04-15,00:04,1,0,1
58,2025-04-14T14:05:00+00:00,2025-04-15,00:05,2,0,2
58,2025-04-14T14:09:00+00:00,2025-04-15,00:09,0,1,1
62,2025-04-14T13:57:00+00:00,2025-04-14,23:57,0,1,1
62,2025-04-14T14:00:00+00:00,2025-04-15,00:00,2,0,2
62,2025-04-14T14:08:00+00:00,2025-04-15,00:08,0,2,2
67,2025-04-14T13:57:00+00:00,2025-04-14,23:57,0,2,2
67,2025-04-14T14:01:00+00:00,2025-04-15,00:01,2,0,2
67,2025-04-14T14:04:00+00:00,2025-04-15,00:04,0,1,1
67,2025-04-14T14:07:00+00:00,2025-04-15,00:07,0,1,1
67,2025-04-14T14:08:00+00:00,2025-04-15,00:08,0,1,1
68,2025-04-14T14:07:00+00:00,2025-04-15,00:07,1,1,2
72,2025-04-14T13:57:00+00:00,2025-04-14,23:57,0,5,5
72,2025-04-14T14:02:00+00:00,2025-04-15,00:02,0,3,3
72,2025-04-14T14:08:00+00:00,2025-04-15,00:08,0,1,1
79,2025-04-14T13:55:00+00:00,2025-04-14,23:55,0,1,1
79,2025-04-14T14:09:00+00:00,2025-04-15,00:09,1,0,1
86,2025-04-14T14:02:00+00:00,2025-04-15,00:02,0,1,1
109,2025-04-14T13:55:00+00:00,2025-04-14,23:55,1,2,3
109,2025-04-14T14:00:00+00:00,2025-04-15,00:00,5,6,11
109,2025-04-14T14:05:00+00:00,2025-04-15,00:05,0,5,5
117,2025-04-14T14:00:00+00:00,2025-04-15,00:00,3,2,5
139,2025-04-14T14:00:00+00:00,2025-04-15,00:00,0,4,4
141,2025-04-14T14:00:00+00:00,2025-04-15,00:00,0,1,1
4,2025-04-14T13:56:00+00:00,2025-04-14,23:56,1,0,1
4,2025-04-14T13:57:00+00:00,2025-04-14,23:57,2,0,2
4,2025-04-14T14:02:00+00:00,2025-04-15,00:02,0,2,2
4,2025-04-14T14:04:00+00:00,2025-04-15,00:04,1,7,8
4,2025-04-14T14:05:00+00:00,2025-04-15,00:05,1,0,1
5,2025-04-14T13:55:00+00:00,2025-04-14,23:55,4,10,14
5,2025-04-14T14:05:00+00:00,2025-04-15,00:05,0,4,4
6,2025-04-14T14:05:00+00:00,2025-04-15,00:05,7,0,7
6,2025-04-14T14:07:00+00:00,2025-04-15,00:07,2,0,2
28,2025-04-14T13:58:00+00:00,2025-04-14,23:58,1,0,1
3,2025-04-14T14:10:00+00:00,2025-04-15,00:10,3,0,3
3,2025-04-14T14:13:00+00:00,2025-04-15,00:13,3,1,4
3,2025-04-14T14:14:00+00:00,2025-04-15,00:14,1,2,3
3,2025-04-14T14:16:00+00:00,2025-04-15,00:16,2,0,2
3,2025-04-14T14:24:00+00:00,2025-04-15,00:24,1,0,1
4,2025-04-14T14:15:00+00:00,2025-04-15,00:15,1,1,2
4,2025-04-14T14:17:00+00:00,2025-04-15,00:17,0,1,1
4,2025-04-14T14:19:00+00:00,2025-04-15,00:19,0,1,1
4,2025-04-14T14:22:00+00:00,2025-04-15,00:22,0,8,8
6,2025-04-14T14:10:00+00:00,2025-04-15,00:10,5,3,8
6,2025-04-14T14:16:00+00:00,2025-04-15,00:16,2,0,2
6,2025-04-14T14:17:00+00:00,2025-04-15,00:17,2,0,2
6,2025-04-14T14:20:00+00:00,2025-04-15,00:20,2,0,2
6,2025-04-14T14:24:00+00:00,2025-04-15,00:24,1,1,2
8,2025-04-14T14:13:00+00:00,2025-04-15,00:13,1,0,1
14,2025-04-14T14:15:00+00:00,2025-04-15,00:15,1,1,2
21,2025-04-14T14:20:00+00:00,2025-04-15,00:20,7,2,9
28,2025-04-14T14:11:00+00:00,2025-04-15,00:11,1,0,1
28,2025-04-14T14:14:00+00:00,2025-04-15,00:14,0,1,1
28,2025-04-14T14:21:00+00:00,2025-04-15,00:21,0,2,2
29,2025-04-14T14:21:00+00:00,2025-04-15,00:21,1,0,1
29,2025-04-14T14:23:00+00:00,2025-04-15,00:23,0,3,3
31,2025-04-14T14:22:00+00:00,2025-04-15,00:22,0,1,1
40,2025-04-14T14:18:00+00:00,2025-04-15,00:18,1,0,1
41,2025-04-14T14:11:00+00:00,2025-04-15,00:11,3,8,11
41,2025-04-14T14:12:00+00:00,2025-04-15,00:12,0,1,1
41,2025-04-14T14:14:00+00:00,2025-04-15,00:14,2,3,5
41,2025-04-14T14:15:00+00:00,2025-04-15,00:15,1,3,4
41,2025-04-14T14:19:00+00:00,2025-04-15,00:19,1,4,5
42,2025-04-14T14:15:00+00:00,2025-04-15,00:15,1,0,1
42,2025-04-14T14:16:00+00:00,2025-04-15,00:16,2,0,2
43,2025-04-14T14:20:00+00:00,2025-04-15,00:20,1,0,1
44,2025-04-14T14:15:00+00:00,2025-04-15,00:15,1,0,1
45,2025-04-14T14:12:00+00:00,2025-04-15,00:12,0,4,4
45,2025-04-14T14:13:00+00:00,2025-04-15,00:13,0,3,3
45,2025-04-14T14:15:00+00:00,2025-04-15,00:15,1,0,1
45,2025-04-14T14:19:00+00:00,2025-04-15,00:19,0,1,1
45,2025-04-14T14:24:00+00:00,2025-04-15,00:24,1,2,3
47,2025-04-14T14:13:00+00:00,2025-04-15,00:13,0,1,1
47,2025-04-14T14:21:00+00:00,2025-04-15,00:21,2,0,2
54,2025-04-14T14:10:00+00:00,2025-04-15,00:10,0,2,2
54,2025-04-14T14:14:00+00:00,2025-04-15,00:14,0,5,5
54,2025-04-14T14:15:00+00:00,2025-04-15,00:15,1,0,1
59,2025-04-14T14:15:00+00:00,2025-04-15,00:15,6,2,8
59,2025-04-14T14:20:00+00:00,2025-04-15,00:20,1,5,6
61,2025-04-14T14:10:00+00:00,2025-04-15,00:10,3,0,3
61,2025-04-14T14:16:00+00:00,2025-04-15,00:16,1,0,1
61,2025-04-14T14:19:00+00:00,2025-04-15,00:19,2,1,3
61,2025-04-14T14:24:00+00:00,2025-04-15,00:24,3,0,3
66,2025-04-14T14:13:00+00:00,2025-04-15,00:13,4,0,4
66,2025-04-14T14:17:00+00:00,2025-04-15,00:17,0,4,4
66,2025-04-14T14:18:00+00:00,2025-04-15,00:18,0,3,3
66,2025-04-14T14:22:00+00:00,2025-04-15,00:22,2,6,8
66,2025-04-14T14:23:00+00:00,2025-04-15,00:23,2,0,2
69,2025-04-14T14:18:00+00:00,2025-04-15,00:18,0,1,1
75,2025-04-14T14:13:00+00:00,2025-04-15,00:13,1,0,1
78,2025-04-14T14:24:00+00:00,2025-04-15,00:24,0,1,1
84,2025-04-14T14:15:00+00:00,2025-04-15,00:15,4,8,12
133,2025-04-14T14:15:00+00:00,2025-04-15,00:15,5,8,13
133,2025-04-14T14:20:00+00:00,2025-04-15,00:20,3,2,5
134,2025-04-14T14:10:00+00:00,2025-04-15,00:10,0,2,2
134,2025-04-14T14:15:00+00:00,2025-04-15,00:15,4,8,12
134,2025-04-14T14:20:00+00:00,2025-04-15,00:20,2,4,6
135,2025-04-14T14:20:00+00:00,2025-04-15,00:20,0,1,1
143,2025-04-14T14:10:00+00:00,2025-04-15,00:10,6,2,8
143,2025-04-14T14:15:00+00:00,2025-04-15,00:15,2,0,2
167,2025-04-14T14:20:00+00:00,2025-04-15,00:20,0,1,1
1,2025-04-14T14:15:00+00:00,2025-04-15,00:15,2,0,2
1,2025-04-14T14:17:00+00:00,2025-04-15,00:17,1,1,2
1,2025-04-14T14:21:00+00:00,2025-04-15,00:21,2,0,2
2,2025-04-14T14:17:00+00:00,2025-04-15,00:17,0,1,1
10,2025-04-14T14:13:00+00:00,2025-04-15,00:13,0,1,1
10,2025-04-14T14:22:00+00:00,2025-04-15,00:22,0,1,1
12,2025-04-14T14:15:00+00:00,2025-04-15,00:15,1,0,1
12,2025-04-14T14:19:00+00:00,2025-04-15,00:19,0,2,2
12,2025-04-14T14:22:00+00:00,2025-04-15,00:22,2,0,2
17,2025-04-14T14:17:00+00:00,2025-04-15,00:17,1,3,4
17,2025-04-14T14:20:00+00:00,2025-04-15,00:20,0,1,1
17,2025-04-14T14:21:00+00:00,2025-04-15,00:21,0,1,1
19,2025-04-14T14:15:00+00:00,2025-04-15,00:15,2,0,2
19,2025-04-14T14:18:00+00:00,2025-04-15,00:18,0,4,4
19,2025-04-14T14:20:00+00:00,2025-04-15,00:20,1,4,5
19,2025-04-14T14:22:00+00:00,2025-04-15,00:22,2,4,6
20,2025-04-14T14:12:00+00:00,2025-04-15,00:12,1,0,1
20,2025-04-14T14:14:00+00:00,2025-04-15,00:14,0,2,2
24,2025-04-14T14:13:00+00:00,2025-04-15,00:13,3,1,4
24,2025-04-14T14:21:00+00:00,2025-04-15,00:21,2,3,5
25,2025-04-14T14:10:00+00:00,2025-04-15,00:10,0,1,1
25,2025-04-14T14:15:00+00:00,2025-04-15,00:15,0,2,2
25,2025-04-14T14:20:00+00:00,2025-04-15,00:20,1,0,1
27,2025-04-14T14:16:00+00:00,2025-04-15,00:16,1,1,2
30,2025-04-14T14:11:00+00:00,2025-04-15,00:11,1,2,3
30,2025-04-14T14:17:00+00:00,2025-04-15,00:17,1,0,1
30,2025-04-14T14:22:00+00:00,2025-04-15,00:22,0,4,4
35,2025-04-14T14:17:00+00:00,2025-04-15,00:17,2,2,4
35,2025-04-14T14:24:00+00:00,2025-04-15,00:24,0,1,1
49,2025-04-14T14:14:00+00:00,2025-04-15,00:14,0,1,1
49,2025-04-14T14:19:00+00:00,2025-04-15,00:19,0,1,1
51,2025-04-14T14:18:00+00:00,2025-04-15,00:18,1,1,2
51,2025-04-14T14:20:00+00:00,2025-04-15,00:20,2,1,3
51,2025-04-14T14:24:00+00:00,2025-04-15,00:24,0,1,1
52,2025-04-14T14:20:00+00:00,2025-04-15,00:20,0,3,3
52,2025-04-14T14:23:00+00:00,2025-04-15,00:23,1,1,2
53,2025-04-14T14:21:00+00:00,2025-04-15,00:21,3,0,3
56,2025-04-14T14:11:00+00:00,2025-04-15,00:11,1,1,2
56,2025-04-14T14:14:00+00:00,2025-04-15,00:14,0,1,1
56,2025-04-14T14:16:00+00:00,2025-04-15,00:16,0,2,2
56,2025-04-14T14:18:00+00:00,2025-04-15,00:18,1,3,4
56,2025-04-14T14:21:00+00:00,2025-04-15,00:21,0,1,1
58,2025-04-14T14:10:00+00:00,2025-04-15,00:10,1,0,1
58,2025-04-14T14:11:00+00:00,2025-04-15,00:11,1,1,2
58,2025-04-14T14:19:00+00:00,2025-04-15,00:19,0,1,1
58,2025-04-14T14:23:00+00:00,2025-04-15,00:23,1,0,1
62,2025-04-14T14:13:00+00:00,2025-04-15,00:13,1,4,5
62,2025-04-14T14:15:00+00:00,2025-04-15,00:15,1,0,1
62,2025-04-14T14:19:00+00:00,2025-04-15,00:19,2,2,4
62,2025-04-14T14:24:00+00:00,2025-04-15,00:24,0,2,2
63,2025-04-14T14:11:00+00:00,2025-04-15,00:11,1,0,1
67,2025-04-14T14:10:00+00:00,2025-04-15,00:10,0,1,1
79,2025-04-14T14:12:00+00:00,2025-04-15,00:12,1,0,1
79,2025-04-14T14:13:00+00:00,2025-04-15,00:13,1,1,2
79,2025-04-14T14:14:00+00:00,2025-04-15,00:14,0,1,1
79,2025-04-14T14:19:00+00:00,2025-04-15,00:19,4,4,8
117,2025-04-14T14:10:00+00:00,2025-04-15,00:10,3,4,7
117,2025-04-14T14:15:00+00:00,2025-04-15,00:15,1,0,1
117,2025-04-14T14:20:00+00:00,2025-04-15,00:20,0,1,1
141,2025-04-14T14:10:00+00:00,2025-04-15,00:10,5,1,6
141,2025-04-14T14:20:00+00:00,2025-04-15,00:20,0,3,3
142,2025-04-14T14:20:00+00:00,2025-04-15,00:20,0,1,1
164,2025-04-14T14:20:00+00:00,2025-04-15,00:20,1,3,4
181,2025-04-14T13:56:00+00:00,2025-04-14,23:56,6,0,6
181,2025-04-14T13:58:00+00:00,2025-04-14,23:58,0,1,1
181,2025-04-14T13:59:00+00:00,2025-04-14,23:59,1,4,5
181,2025-04-14T14:01:00+00:00,2025-04-15,00:01,6,1,7
181,2025-04-14T14:02:00+00:00,2025-04-15,00:02,4,2,6
181,2025-04-14T14:07:00+00:00,2025-04-15,00:07,3,2,5
181,2025-04-14T14:08:00+00:00,2025-04-15,00:08,2,0,2
3,2025-04-14T14:00:00+00:00,2025-04-15,00:00,2,2,4
3,2025-04-14T14:03:00+00:00,2025-04-15,00:03,0,3,3
3,2025-04-14T14:06:00+00:00,2025-04-15,00:06,2,3,5
3,2025-04-14T14:09:00+00:00,2025-04-15,00:09,6,0,6
4,2025-04-14T13:59:00+00:00,2025-04-14,23:59,1,5,6
4,2025-04-14T14:01:00+00:00,2025-04-15,00:01,8,4,12
4,2025-04-14T14:03:00+00:00,2025-04-15,00:03,1,1,2
4,2025-04-14T14:09:00+00:00,2025-04-15,00:09,10,0,10
6,2025-04-14T14:01:00+00:00,2025-04-15,00:01,2,0,2
6,2025-04-14T14:02:00+00:00,2025-04-15,00:02,7,0,7
14,2025-04-14T14:03:00+00:00,2025-04-15,00:03,0,1,1
14,2025-04-14T14:07:00+00:00,2025-04-15,00:07,1,0,1
21,2025-04-14T13:55:00+00:00,2025-04-14,23:55,5,8,13
29,2025-04-14T13:58:00+00:00,2025-04-14,23:58,0,1,1
36,2025-04-14T14:00:00+00:00,2025-04-15,00:00,0,1,1
40,2025-04-14T14:03:00+00:00,2025-04-15,00:03,1,0,1
41,2025-04-14T13:57:00+00:00,2025-04-14,23:57,4,0,4
41,2025-04-14T13:58:00+00:00,2025-04-14,23:58,6,1,7
42,2025-04-14T14:09:00+00:00,2025-04-15,00:09,0,1,1
45,2025-04-14T13:58:00+00:00,2025-04-14,23:58,2,0,2
45,2025-04-14T14:04:00+00:00,2025-04-15,00:04,1,0,1
47,2025-04-14T13:57:00+00:00,2025-04-14,23:57,2,1,3
47,2025-04-14T14:05:00+00:00,2025-04-15,00:05,1,3,4
47,2025-04-14T14:08:00+00:00,2025-04-15,00:08,0,2,2
54,2025-04-14T14:08:00+00:00,2025-04-15,00:08,2,0,2
61,2025-04-14T13:58:00+00:00,2025-04-14,23:58,2,2,4
61,2025-04-14T14:02:00+00:00,2025-04-15,00:02,3,0,3
61,2025-04-14T14:07:00+00:00,2025-04-15,00:07,4,1,5
66,2025-04-14T13:57:00+00:00,2025-04-14,23:57,0,1,1
66,2025-04-14T13:58:00+00:00,2025-04-14,23:58,1,0,1
66,2025-04-14T14:00:00+00:00,2025-04-15,00:00,3,2,5
66,2025-04-14T14:01:00+00:00,2025-04-15,00:01,2,0,2
66,2025-04-14T14:03:00+00:00,2025-04-15,00:03,0,1,1
66,2025-04-14T14:05:00+00:00,2025-04-15,00:05,4,2,6
66,2025-04-14T14:09:00+00:00,2025-04-15,00:09,0,1,1
84,2025-04-14T14:00:00+00:00,2025-04-15,00:00,1,3,4
84,2025-04-14T14:05:00+00:00,2025-04-15,00:05,0,7,7
108,2025-04-14T14:05:00+00:00,2025-04-15,00:05,0,1,1
132,2025-04-14T13:55:00+00:00,2025-04-14,23:55,7,0,7
132,2025-04-14T14:00:00+00:00,2025-04-15,00:00,3,3,6
133,2025-04-14T14:00:00+00:00,2025-04-15,00:00,8,0,8
134,2025-04-14T14:00:00+00:00,2025-04-15,00:00,2,5,7
135,2025-04-14T14:05:00+00:00,2025-04-15,00:05,0,5,5
162,2025-04-14T13:55:00+00:00,2025-04-14,23:55,5,6,11
162,2025-04-14T14:05:00+00:00,2025-04-15,00:05,4,5,9
166,2025-04-14T13:55:00+00:00,2025-04-14,23:55,1,0,1
167,2025-04-14T14:05:00+00:00,2025-04-15,00:05,2,4,6
1,2025-04-14T13:55:00+00:00,2025-04-14,23:55,3,3,6
1,2025-04-14T13:58:00+00:00,2025-04-14,23:58,3,0,3
1,2025-04-14T14:03:00+00:00,2025-04-15,00:03,1,4,5
1,2025-04-14T14:04:00+00:00,2025-04-15,00:04,0,1,1
1,2025-04-14T14:05:00+00:00,2025-04-15,00:05,0,1,1
1,2025-04-14T14:08:00+00:00,2025-04-15,00:08,1,0,1
9,2025-04-14T13:56:00+00:00,2025-04-14,23:56,0,1,1
12,2025-04-14T14:05:00+00:00,2025-04-15,00:05,2,0,2
17,2025-04-14T13:56:00+00:00,2025-04-14,23:56,0,1,1
17,2025-04-14T14:01:00+00:00,2025-04-15,00:01,1,0,1
17,2025-04-14T14:02:00+00:00,2025-04-15,00:02,1,0,1
19,2025-04-14T13:57:00+00:00,2025-04-14,23:57,4,2,6
