location_id,sensing_date,period_of_time,total_pedestrian_count,hours_covered,avg_hourly_pedestrian_count,sensor_description,sensor_name,latitude,longitude,postcode,locality
1,2024-04-09,4. Night (6pm-12am),2897,4,724.25,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-10,1. Late Night (12am-6am),129,6,21.5,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-10,2. Morning (6am-12pm),1594,4,398.5,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-10,3. Afternoon (12pm-6pm),8087,3,2695.6666666666665,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-10,4. Night (6pm-12am),3043,3,1014.3333333333334,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-11,1. Late Night (12am-6am),144,6,24.0,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-11,2. Morning (6am-12pm),3426,5,685.2,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-11,3. Afternoon (12pm-6pm),8346,3,2782.0,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-11,4. Night (6pm-12am),1578,3,526.0,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-12,1. Late Night (12am-6am),231,6,38.5,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-12,2. Morning (6am-12pm),2672,5,534.4,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-12,3. Afternoon (12pm-6pm),11211,4,2802.75,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-12,4. Night (6pm-12am),2707,2,1353.5,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-13,1. Late Night (12am-6am),492,6,82.0,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-13,2. Morning (6am-12pm),3238,5,647.6,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-13,3. Afternoon (12pm-6pm),10268,3,3422.6666666666665,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-13,4. Night (6pm-12am),2087,1,2087.0,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-14,1. Late Night (12am-6am),587,6,97.83333333333333,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-14,2. Morning (6am-12pm),2477,5,495.4,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-14,3. Afternoon (12pm-6pm),10252,4,2563.0,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-14,4. Night (6pm-12am),1967,3,655.6666666666666,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-15,1. Late Night (12am-6am),156,6,26.0,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-15,2. Morning (6am-12pm),4121,6,686.8333333333334,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-15,3. Afternoon (12pm-6pm),6590,3,2196.6666666666665,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-15,4. Night (6pm-12am),1502,3,500.6666666666667,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-16,1. Late Night (12am-6am),103,6,17.166666666666668,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-16,2. Morning (6am-12pm),3121,5,624.2,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-16,3. Afternoon (12pm-6pm),7007,3,2335.6666666666665,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-16,4. Night (6pm-12am),2121,3,707.0,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-17,1. Late Night (12am-6am),135,6,22.5,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-17,2. Morning (6am-12pm),4159,6,693.1666666666666,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-17,3. Afternoon (12pm-6pm),2085,1,2085.0,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-17,4. Night (6pm-12am),1005,2,502.5,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-18,1. Late Night (12am-6am),94,6,15.666666666666666,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-18,2. Morning (6am-12pm),4381,6,730.1666666666666,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-18,3. Afternoon (12pm-6pm),12037,5,2407.4,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-18,4. Night (6pm-12am),2526,4,631.5,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-19,1. Late Night (12am-6am),199,6,33.166666666666664,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-19,2. Morning (6am-12pm),2555,5,511.0,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-19,3. Afternoon (12pm-6pm),9935,4,2483.75,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-19,4. Night (6pm-12am),6057,5,1211.4,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-20,1. Late Night (12am-6am),434,6,72.33333333333333,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-20,2. Morning (6am-12pm),3276,5,655.2,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-20,3. Afternoon (12pm-6pm),6117,2,3058.5,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-20,4. Night (6pm-12am),2513,2,1256.5,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-21,1. Late Night (12am-6am),606,6,101.0,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-21,2. Morning (6am-12pm),1805,5,361.0,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-21,3. Afternoon (12pm-6pm),1983,1,1983.0,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-21,4. Night (6pm-12am),647,2,323.5,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-22,1. Late Night (12am-6am),119,6,19.833333333333332,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-22,2. Morning (6am-12pm),2500,5,500.0,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-22,3. Afternoon (12pm-6pm),8690,4,2172.5,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-22,4. Night (6pm-12am),2637,4,659.25,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-23,1. Late Night (12am-6am),120,6,20.0,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-23,2. Morning (6am-12pm),1585,4,396.25,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-23,3. Afternoon (12pm-6pm),8820,4,2205.0,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-23,4. Night (6pm-12am),2218,4,554.5,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-24,1. Late Night (12am-6am),80,6,13.333333333333334,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-24,2. Morning (6am-12pm),4451,6,741.8333333333334,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-24,3. Afternoon (12pm-6pm),11736,5,2347.2,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-24,4. Night (6pm-12am),1610,3,536.6666666666666,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-25,1. Late Night (12am-6am),351,6,58.5,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-25,2. Morning (6am-12pm),648,4,162.0,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-25,3. Afternoon (12pm-6pm),10747,4,2686.75,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-25,4. Night (6pm-12am),1343,2,671.5,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-26,1. Late Night (12am-6am),183,6,30.5,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-26,2. Morning (6am-12pm),3613,5,722.6,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-26,3. Afternoon (12pm-6pm),14241,5,2848.2,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-26,4. Night (6pm-12am),4557,5,911.4,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-27,1. Late Night (12am-6am),430,6,71.66666666666667,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-27,2. Morning (6am-12pm),3365,5,673.0,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-27,3. Afternoon (12pm-6pm),12583,4,3145.75,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-27,4. Night (6pm-12am),1926,3,642.0,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-28,1. Late Night (12am-6am),512,6,85.33333333333333,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-28,2. Morning (6am-12pm),1858,5,371.6,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
1,2024-04-28,3. Afternoon (12pm-6pm),12747,5,2549.4,Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,8120,MELBOURNE
